Positionsachse	 Global	
Werteachse	Global	
x(mm)	y(mm)	z(mm)	Wert(MPa)	
0	150,027	31	3,70868	
0	150	20	4,85811	
0	160	30	3,99563	
0	160	20	4,63842	
0	170	30	3,73179	
0	170	20	4,28804	
0	180	30	3,67899	
0	180	20	4,05549	
0	180	40	3,43377	
0	170	40	3,26457	
0	170	50	3,07749	
0	160	50	2,66125	
0	160	40	3,17642	
0	180	60	3,54197	
0	180	50	3,3721	
0	170	60	3,3181	
0	150,039	41	2,58756	
0	180	70	3,84111	
