Positionsachse	 Global	
Werteachse	Global	
x(mm)	y(mm)	z(mm)	Wert(MPa)	
4,89859e-016	-11,7641	41	4,09709	
4,89859e-016	-18,1701	41	2,45102	
4,89859e-016	-24,8348	41	1,24319	
0	19,0249	41	0,866269	
0	13,2954	41	2,3953	
0	4,45931	41	4,52781	
0	18,7183	-41	0,998604	
0	11,5888	-41	2,74652	
0	5,82094	-41	4,39284	
4,89859e-016	-4,1818	-41	4,99197	
4,89859e-016	-11,3911	-41	4,35491	
4,89859e-016	-18,5561	-41	2,41353	
4,89859e-016	-25,1063	-41	0,918065	
-8	-5,33901	-33	4,92167	
-8	-12,2643	-33	4,23955	
-8	-18,4751	-33	3,21339	
-8	-25,4633	-33	1,61728	
-8	18,7338	-33	2,81494	
-8	12,4937	-33	4,43761	
-8	5,76246	-33	4,68523	
12	147,155	-6,25	36,2113	
12	145,893	-0,106344	25,6709	
12	146,866	5,88197	31,5369	
-12	147,155	6,5	31,2558	
-12	145,761	-0,0970203	27,3723	
-12	146,793	-6,44537	32,7693	
0	160,53	-10,9872	44,6907	
-0,0168591	153,903	-9,15566	51,6948	
-7	154,35	-9,43797	47,1388	
-6,36964	151,008	-6,33649	49,882	
-0,0486487	151,755	-7,28138	50,9176	
6,36517	151,008	-6,33649	49,3301	
7	154,35	-9,43797	42,5443	
0,0407186	160,53	10,9872	44,6201	
0,047158	154,225	9,36181	51,7953	
-6,5	154,54	9,54932	43,5649	
-6,33566	151,008	6,33649	49,4838	
0,0470814	151,807	7,33964	51,4391	
7,08165	151,63	7,13722	49,7893	
7,8541	154,421	9,48011	50,5175	
2,54839	24,751	-37,6604	0,880855	
4,00685	29,3312	-28,4257	5,23876	
2,93651	48,179	-15,7941	68,2513	
4,04127	57,5185	-14,5278	88,6991	
3,8656	61,1351	-14,2903	88,8543	
5,90863	59,7823	-14,2057	88,5589	
2,49178	63,3737	-14,2542	89,3213	
3,13432	67,7651	-13,8908	90,2151	
6,43799	67,776	-13,6003	90,4257	
2,70821	71,2413	-13,6851	91,1502	
5,57174	81,8112	-12,6948	94,1976	
3,06857	83,0493	-12,8278	94,7703	
2,92451	79,1226	-13,115	93,7866	
3,10073	86,1171	-12,6105	96,0098	
5,90659	88,7407	-12,1809	96,2233	
3,31861	90,1991	-12,3059	96,833	
3,86903	94,6319	-11,9477	98,1546	
4,04578	56,4332	14,6033	88,2066	
2,55884	24,9333	37,1178	0,932423	
4,64646	28,9727	28,8314	4,97328	
3,59767	48,2872	15,7075	71,3143	
5,51096	120,154	5,86001	106,022	
-3,20832	133,968	-9,58313	92,3735	
6,50111	44,9896	11,2204	66,2028	
5,00099	121,221	-5,73165	105,249	
6,30964	113,01	-6,44374	103,808	
6,24902	105,655	-6,95166	101,034	
5,60895	97,977	-7,42111	98,9539	
4,49328	90,6892	-7,81318	96,945	
5,71901	88,8487	-8,07102	96,5938	
6,04017	84,5688	-8,40414	95,4173	
5,70271	69,3618	-9,43196	91,4666	
5,44774	61,594	-9,94827	89,3334	
5,32495	53,5957	-10,4946	82,4109	
6,3533	44,9069	-11,2106	65,6927	
-2,34248	24,9016	-37,2676	0,767733	
-4,65973	28,9448	-28,8691	5,45042	
-3,44358	48,0783	-15,7738	70,3506	
-4,666	56,8992	-14,5163	87,8675	
-3,54204	57,9102	14,5442	88,9633	
-4,08438	61,2841	14,2607	88,8402	
-2,90007	64,0971	14,1678	89,5333	
-3,14144	67,8011	13,8877	90,5922	
-3,30499	71,2408	13,6328	91,6244	
-3,07705	82,3542	12,8757	94,9328	
-3,18194	78,441	13,1401	94,0427	
-6,02511	81,3418	12,6879	94,5331	
-2,94424	85,9767	12,634	96,3308	
-3,24765	90,6887	12,2779	97,4154	
-4,36568	94,5056	11,9129	98,5505	
-5,6222	89,334	12,1644	97,1221	
-5,6827	66,4815	13,7571	90,7474	
-6,12437	60,3194	14,1492	88,7603	
-2,10119	24,7787	37,7016	0,847014	
-4,57497	28,8111	29,0746	4,56032	
-2,80766	50,4879	15,312	76,8206	
-5,1485	69,5829	9,3581	92,3336	
-6,07213	44,4117	11,2156	64,8781	
4,11326	134,127	-9,51687	90,9884	
-5,74573	61,1261	10,0124	88,9203	
-5,64591	83,92	8,40796	95,9803	
-5,83876	90,2487	7,98574	97,2602	
-5,60895	97,9348	7,42406	99,2535	
-6,24786	105,8	6,94139	101,672	
-6,25527	113,155	6,42787	104,561	
-5,1076	120,879	5,7668	105,206	
-5,15534	120,861	-5,77309	106,837	
-4,24909	15,1311	-39,7783	2,63727	
-6,35503	44,9042	-11,2109	65,7981	
2,91344	22,4998	-34,2155	1,39308	
2,82436	22,3778	34,5114	1,4784	
5,45712	38,8613	-10,6001	45,2034	
4,89793	38,2252	-9,17721	46,0142	
5,71505	37,9495	9,96357	43,0316	
5,02596	37,8699	8,83037	45,3234	
2,89547	82,7749	8,19825	97,7482	
2	82,7749	7,2013	97,6504	
2,89547	89,8323	7,70475	97,8563	
2	89,7663	6,71242	98,6704	
4,27586	94,5448	11,9181	97,2317	
3,91069	89,6233	12,2943	97,6112	
3,34912	86,1573	12,5859	96,8751	
0	75,2749	13,6406	92,8267	
2,89547	75,1691	8,7301	95,3817	
2	75,6853	7,69706	94,9602	
3,26038	78,7158	13,114	94,6442	
2,89915	75,2986	13,3846	92,2159	
4,28221	70,6697	13,587	89,7792	
6,43799	75,2657	13,0766	91,303	
5,56031	76,9385	8,88714	96,8927	
2,94084	82,682	12,8647	95,5966	
5,92055	81,5098	12,6853	95,7123	
5,67376	84,064	8,40083	97,8695	
5,30432	88,4456	12,2544	97,9139	
5,74573	89,0581	8,05919	98,4377	
3,33437	127,263	5,13358	102,381	
3,80505	130,117	4,98362	94,2999	
2,47163	127,501	4,132	98,4417	
6,31039	128,189	5,38237	101,762	
3,30161	127,015	-5,14746	101,268	
3,72851	129,716	-5,00356	95,7277	
2,45986	127,416	-4,13665	96,9869	
6,51142	127,838	-5,4281	99,9697	
0	75,2749	-13,6406	92,736	
2,89547	75,7176	-8,69175	93,6434	
2	75,3097	-7,72332	93,7365	
5,60614	73,5366	-13,2704	91,8937	
3,52767	75,5118	-13,3146	92,2897	
5,65026	76,3689	-8,93645	93,2947	
-2,63261	22,5268	-34,9385	1,17115	
-2,63348	21,8887	34,9369	1,48826	
-3,21015	126,264	5,19037	101,743	
-3,80649	130,124	4,98325	93,7027	
-2,35555	126,602	4,18163	99,5877	
-6,15539	128,065	5,37473	100,652	
-2,89547	75,2749	8,7227	93,968	
-2	75,3401	7,72119	94,8468	
-3,13432	75,3937	13,3574	92,718	
-5,82367	74,2866	13,1989	92,7363	
-5,14925	77,0394	8,83678	94,0853	
-2	82,4814	-7,22182	97,8138	
-2,89547	82,4818	-8,21874	97,5508	
-2	90,6029	-6,65391	99,4666	
-2,89547	90,0183	-7,69174	98,2518	
-2,52199	-16,3342	-20,2285	5,63272	
-3,3175	94,7603	-11,9871	97,979	
-2,95092	89,9867	-12,353	97,4905	
-3,47967	86,4585	-12,5534	96,723	
-2,89547	75,466	-8,70934	95,6469	
-2	75,2749	-7,72575	95,2823	
-3,23399	79,2045	-13,0821	94,3699	
-3,13432	75,1768	-13,3725	93,3434	
-4,04399	71,156	-13,5739	91,4977	
-6,39162	75,1294	-13,0902	93,2439	
-5,57245	77,0654	-8,87955	95,542	
-3,08517	82,8906	-12,8374	95,4432	
-5,42367	81,1522	-12,7539	95,7487	
-5,90038	84,2191	-8,41386	97,4665	
-5,61637	90,2633	-12,0999	97,6668	
-6,32566	88,9673	-8,12665	98,3108	
-3,29912	126,996	-5,14854	101,963	
-3,67643	129,433	-5,01789	96,0888	
-2,51024	127,775	-4,11724	96,8094	
-6,50548	128,074	-5,41101	100,551	
-5,51744	38,6436	-10,4729	46,6032	
-4,98159	37,9921	-8,9587	45,8415	
-5,75072	37,8272	9,85424	42,4748	
-5,02596	37,8699	8,83037	44,2057	
4,10151	40,6566	8,01914	51,4506	
4,09882	40,6655	4,48928	54,0791	
4,2277	40,2417	-0,0666395	55,6545	
4,16709	40,4394	-4,47751	54,1295	
3,90741	41,3214	-8,2709	51,7237	
2,37595	48,8801	0,13048	69,6451	
2	78,643	-3,6559	97,0421	
2	75,2122	-4,75	95,1375	
2	75,4286	-0,0278677	95,8734	
2	71,4011	0,674627	94,7588	
2	70,9816	-3,12184	93,9534	
2	63,6172	0,429956	90,6474	
2	74,8334	4,22108	95,8997	
2	69,4373	4,44386	93,2028	
2	79,6794	4,20241	97,1944	
2	83,7341	3,05578	98,2846	
2	87,2927	3,87448	99,3842	
2	90,2626	4,25347	100,115	
2	94,1447	3,27064	99,3266	
2	100,729	-0,242692	97,3983	
2	93,4391	-0,166977	99,5728	
2	94,1254	-2,75558	98,8337	
2	89,8906	1,49936	100,13	
2	90,5198	-2,87665	99,487	
2	86,4447	-3,28325	98,6981	
2	86,761	-0,0210186	99,0439	
2	83,7719	-0,389648	98,3359	
2	82,5389	-3,78251	98,0181	
2	98,2759	-3,25736	97,7657	
2	102,793	-3,06755	98,8059	
2	106,068	-1,67983	102,45	
2	108,438	0,348964	105,474	
2	109,533	-3,01782	104,175	
2	105,511	0,104352	101,386	
2	113,437	-2,46402	105,808	
2	116,441	-1,26171	108,011	
2	111,132	-0,181873	106,005	
2	97,43	0,0907344	97,8003	
2	79,4181	0,319634	97,3032	
4,1019	134,995	0,409619	53,7983	
3,4814	132,731	0,228664	67,3447	
2,94165	130,308	0,619197	83,3859	
2,45089	127,35	-1,10667	94,2427	
2,1349	124,32	0,503827	106,786	
-2,08704	123,599	0,684542	108,737	
-2,94614	130,331	0,496869	82,8322	
-2,48086	127,568	-1,1786	94,1695	
-3,50492	132,825	0,163502	67,127	
-4,16794	135,214	0,0291801	53,3235	
-2	112,721	3,27779	105,233	
-2	109,025	3,75	103,771	
-2	105,257	2,47036	100,128	
-2	101,575	2,81017	98,2229	
-2	98,393	3,9786	98,0467	
-2	93,2749	2,78292	99,1826	
-2	90,2889	3,64943	99,1778	
-2	87,5226	4,10872	98,3004	
-2	84,0365	3,77584	98,1727	
-2	79,7685	4,30576	97,0518	
-2	75,5465	4,06597	96,0351	
-2	75,1705	0,17086	96,7503	
-2	71,7419	3,51393	94,9754	
-2	71,379	-0,185823	94,6579	
-2	64,0249	0	91,1819	
-2	78,1558	-3,48649	97,9022	
-2	75,0389	-3,89462	98,1022	
-2	83,8073	-0,484127	98,4061	
-2	82,6003	-3,78337	98,2384	
-2	79,2387	0,11739	97,4432	
-2	86,4265	-3,68539	98,8915	
-2	90,5289	0,46597	99,3844	
-2	91,1152	-3,94805	99,9455	
-2	86,8997	0,0219002	98,8582	
-2	95,4738	-3,09944	98,7369	
-2	102,127	-0,84839	97,3853	
-2	93,7514	-0,549968	100,037	
-2	109,106	-0,676325	106,738	
-2	116,926	0,472132	107,506	
-2	72,1569	-3,41033	94,5949	
-2	98,016	-0,854099	97,406	
-2	105,833	-0,868238	101,945	
-2	111,931	-0,0378701	106,027	
-2,28824	49,639	7,83737	75,5156	
-2,49259	47,9988	-0,0202439	71,0909	
-4,13125	40,5576	-8,04253	51,6417	
-4,04622	40,8425	-0,729345	56,7394	
-3,964	41,124	-4,63593	54,2267	
-4,16582	40,4435	7,79529	50,6067	
-4,24923	40,1722	4,17277	52,2654	
-8	-14,3005	26,4539	5,19676	
-12	-13,6768	25,5724	5,46282	
-12	-22,6595	18,0982	5,70528	
0	-10,9751	29,5	5,02949	
-12	-16,8342	19,8144	5,51424	
12	-12,6838	26,0791	5,58883	
12	-21,7359	19,1977	5,4378	
8	-11,5777	27,7538	5,25353	
12	-15,5013	20,8736	5,79176	
8	-12,2697	-27,4548	5,10039	
12	-22,5285	-18,2611	5,80274	
12	-13,8145	-25,4982	5,20608	
-7,34788e-016	-11,928	-29,5	4,82053	
12	-15,5769	-20,8173	5,61673	
-12	-23,095	-17,5391	5,74415	
-12	-13,856	-25,4757	5,04118	
-8	-12,3105	-27,4365	5,03488	
-12	-16,031	-20,4697	5,80366	
-0,0897377	-30	23,3541	4,72147	
-0,824037	-35,4994	5,9828	5,77804	
-0,854805	-35,3273	-6,92685	5,66185	
-0,571175	-30	-24,2639	4,17282	
8	-17,3651	28,8831	4,43452	
8	-22,9248	29,1334	3,07398	
8	-24,9014	23,9325	4,11481	
8	20,6232	29,1148	4,00752	
8	25,9442	23,4911	11,2309	
8	34,3833	14,9179	32,9518	
8	34,2617	8,87607	32,6433	
8	41,4544	-14,4231	48,9994	
8	35,2285	-13,8895	33,4921	
8	26,8768	-23,0674	10,7557	
8	19,8816	-28,6166	3,99216	
8	-18,4576	-29,6938	4,44428	
8	-23,6254	-27,8924	3,03	
8	-25,9751	-22,5	4,17991	
8	41,7149	14,7042	49,9256	
8	138,899	-4,7956	55,0863	
8	138,967	4,88197	58,3994	
0,00885655	22,3267	-13,3237	20,5233	
-6,04281	20,1577	-16,4216	14,1833	
-6,02787	13,5218	-22,2072	5,87994	
0,15032	14,7193	-21,4322	5,40326	
-7,36397	5,52769	-25,4056	5,58637	
-0,288105	5,16341	-25,4821	5,40267	
1,85681	-3,09783	-25,8148	5,38012	
-6,39365	-5,83321	-25,3372	5,35233	
-0,341169	-10,6639	-23,7125	5,25429	
-6,25377	-14,7613	-21,4033	5,4593	
-8,65428	-20,4801	-16,0177	5,63583	
-4,04498	-20,8026	-15,5965	5,58024	
6,32051	-22,6413	-12,7817	5,76831	
4,638	-14,858	-21,3363	5,24843	
7,10693	-6,55893	-25,1591	5,25759	
5,90526	2,7117	-25,8582	5,33835	
6,93179	12,0574	-23,0352	5,3785	
6,62724	20,3656	-16,163	12,4944	
0,0326283	22,4057	13,1903	21,1504	
-5,74919	20,5839	15,8841	12,6975	
-6,64501	14,9761	21,2536	4,87445	
0	11,5249	23,3061	5,50328	
-5,61251	4,67536	25,5762	5,4892	
0,275977	4,74288	25,5637	5,75565	
0,5	-3,32503	25,7865	5,39821	
-6,7991	-7,24251	24,9709	5,27563	
0,689293	-13,3166	22,3309	5,32527	
-3,61381	-16,7407	19,8934	5,26359	
-5,849	-22,4499	13,115	5,74611	
3,34716	-23,1149	11,9038	5,81744	
7,4981	-19,891	16,7436	5,45644	
6,6459	-13,2665	22,3607	5,54588	
7,62771	-5,47886	25,4162	5,45893	
6,00973	4,62537	25,5853	5,67023	
5,83296	14,6651	21,4694	5,09229	
7,15832	20,9226	15,4351	14,4303	
-7,45392	21,8966	35,905	1,00268	
-5,77526	18,9829	38,5359	1,68119	
-6,61438	11,5249	37,5	3,58511	
-4,59327	2,08876	39,55	4,66566	
-5,23613	-16,7886	39,0484	3,05014	
-4,82792	-23,082	39,379	1,4391	
-6,00791	-9,97648	38,2825	4,47475	
-7,05079	-2,3938	36,7797	5,09685	
-7,54687	22,2702	-35,6542	0,998395	
-7,19737	17,3169	-36,4925	2,23819	
-6,60577	11,1843	-37,5126	4,03872	
-6,00173	4,08372	-38,2895	4,51824	
-5,2139	-4,15651	-39,0676	5,01	
-6,05549	-11,6975	-38,2279	4,02402	
-7,12342	-18,5058	-36,641	2,74268	
-6,45921	-24,9771	-37,72	1,0186	
5,97531	17,1192	38,3194	2,29287	
5,95915	-11,9085	38,3375	3,97813	
6,48204	-19,2869	37,6886	2,37151	
6,69234	-25,677	37,3832	1,08541	
5,14508	-3,53502	39,126	5,06729	
6,20348	5,87903	38,0514	4,49994	
6,67393	12,5249	37,4112	3,69726	
7,45865	21,8001	-35,8929	0,927946	
5,95318	17,946	-38,3441	1,85403	
7,3926	11,9311	-36,0577	3,62338	
5,29544	3,64533	-38,9965	4,50157	
7,30101	-3,11143	-36,2704	5,02815	
5,55592	-13,0406	-38,756	3,77365	
5,83207	-19,9411	-38,476	2,18255	
4,82651	-24,4873	-39,38	1,1752	
-8	20,9598	28,0311	3,75209	
-8	-17,6816	29	4,39246	
-8	-22,7247	29,2223	2,9917	
-8	-26,1803	23,5609	4,03389	
-8	25,8784	23,0712	9,77652	
-8	33,6888	14,8559	33,4531	
-8	34,2836	8,91339	33,145	
-8	41,4795	-14,4775	48,9295	
-8	34,6146	-13,7467	33,912	
-8	26,7806	-22,7169	12,9615	
-8	18,9164	-29,0448	4,67304	
-8	-18,1515	-28,714	4,14803	
-8	-24,8292	-29,4369	2,46572	
-8	-25,357	-22,9927	4,31513	
-8	41,1545	15,3155	46,8163	
-8	139,047	4,86293	52,9576	
-8	139,104	-5,20842	52,9513	
12	-26,4679	11,8512	5,6575	
-12	-25,8884	-2,40619	6,11553	
9,55973	-24,8166	7,75481	6,5812	
2	59,0909	8,85745	89,712	
-8	23,0786	-30,06	3,58906	
-3,40009	44,8505	16,7756	57,9008	
12	168,3	-7,21893	18,6667	
12	168,3	7,21893	18,6734	
-12	168,3	7,21893	18,973	
-12	168,3	-7,21893	18,5658	
0	168,232	-7,29589	20,4167	
0,0182637	168,329	7,18575	20,9661	
