Positionsachse	 Global	
Werteachse	Global	
x(mm)	y(mm)	z(mm)	Wert(MPa)	
-12	26	0	26,3657	
-8	26	0	32,4453	
0	26	0	40,6467	
-12	-4,18112e-015	26	5,05085	
12	-4,18112e-015	26	5,39294	
-8	0	33	4,94099	
0	0	41	5,25172	
0	0	-41	5,27602	
-8	-1,42109e-014	-33	5,22967	
0	177,126	8,34252	19,2885	
0	170,808	15,6871	22,084	
0	160,304	19,0474	27,5607	
12	176,525	7,1363	21,7232	
12	170,088	14,9078	18,7592	
12	156,811	17,7152	28,74	
12	147,855	13,2849	37,6245	
12	143,41	6,98338	33,4675	
8	142,407	5,2147	45,5394	
-8	142,691	6,09216	49,7214	
-12	176,525	7,1363	21,8963	
-12	170,129	14,8797	18,9298	
-12	156,955	17,7405	29,3976	
-12	148,031	13,4441	40,2852	
-12	143,921	8,09105	34,8822	
8	142,633	-5,92578	44,4506	
12	143,637	-7,5	34,9096	
12	147,16	-12,6153	41,5859	
12	157,235	-17,7864	28,5909	
12	169,401	-15,3497	18,8024	
12	176,525	-7,1363	21,7084	
0	176,542	-9,44819	18,5312	
0	169,68	-16,4073	21,7941	
0	159,864	-19,0494	27,2689	
12	150,338	-5,2571	43,1945	
12	152,679	-8,21006	46,1544	
12	162,439	-10,7262	31,363	
12	162,439	10,7262	30,7544	
12	154,025	9,23572	43,8307	
12	150,338	5,2571	41,449	
0	138,353	10,5613	72,4531	
8	136,71	9,50846	79,6023	
8	145,755	12,65	49,7864	
-12	143,637	-7,5	35,0159	
-12	147,16	-12,6153	41,9337	
-12	157,235	-17,7864	29,2165	
-12	169,401	-15,3497	18,6431	
-12	176,525	-7,1363	21,6168	
-8	142,802	-6,39849	44,7999	
-12	162,797	10,6384	31,0253	
-12	156,324	10,3676	42,8215	
-12	151,016	6,34681	42,166	
-12	150,338	-5,2571	43,6692	
-12	152,679	-8,21006	48,1522	
-12	162,439	-10,7262	31,064	
-8	135,173	9,28267	83,6304	
-8	144,485	12,0009	53,1879	
8	144,398	-11,9594	52,2385	
8	136,416	-9,45885	79,1156	
0	139,025	-10,7301	73,0629	
12	27,936	7,78322	25,1728	
12	25,5391	13,7388	18,1619	
12	19,986	21,0134	8,79595	
12	12,2037	26,3072	5,473	
12	4,50876	28,6474	5,92376	
8	29,0345	7,83008	31,8345	
8	25,686	15,6378	22,1358	
8	19,5317	22,8654	6,89608	
8	10,099	28,3253	5,45939	
8	28,941	-8,16875	32,0189	
8	25,046	-16,6436	20,7944	
8	19,2771	-23,0804	6,71823	
8	12,2903	-27,4456	5,30622	
8	6,38569	-29,386	5,21913	
12	6,728	-28,2088	4,99414	
12	12,8005	-26,0221	4,55881	
12	18,6769	-22,1849	6,12714	
12	25,1877	-14,3729	18,3252	
12	28,4228	-5,75688	29,2859	
5,44325	24,1184	-38,8627	0,892123	
8	47,15	-15,6099	66,6823	
8	41,9503	-17,5496	45,3605	
8	34,4033	-22,4246	17,7046	
8	28,3555	-29,2113	4,96767	
0	36,6399	-21,5367	22,8393	
0	42,3327	-18,1434	46,8488	
0	48,5757	-15,9612	67,7576	
2,66229	25,7912	-34,8828	0,992543	
0	58,6324	-14,8043	89,1327	
0	63,387	-14,4718	89,2387	
0	67,456	-14,1873	89,9057	
0	71,4452	-13,9084	91,3579	
0	79,0249	-13,3783	94,3101	
0	83,2176	-13,0852	95,2621	
0	86,5249	-12,8539	96,5583	
0	90,7176	-12,5607	97,7626	
0	94,0249	-12,3294	98,136	
0	100,95	-11,8452	99,1245	
0	108,965	-11,2847	100,997	
0	115,073	-10,8576	103,213	
0	122,191	-10,3598	104,33	
8	58,2889	-14,1267	88,3487	
8	65,1398	-13,6477	89,627	
8	71,5249	-13,2012	91,2499	
8	79,0249	-12,6767	93,3643	
8	85,6397	-12,2142	95,1631	
8	91,4338	-11,809	96,9617	
8	101,525	-11,1034	99,4568	
8	107,067	-10,7158	101,244	
8	114,76	-10,1779	103,231	
8	124,091	-9,52537	104,051	
8	56,5249	14,2501	89,456	
8	63,4778	13,7639	89,0397	
8	71,7586	13,1848	89,649	
8	78,4948	12,7138	94,8722	
8	85,0925	12,2524	97,2191	
8	92,5925	11,728	96,8687	
8	100,471	11,1771	99,3129	
8	110,457	10,4788	100,911	
8	117,057	10,0173	101,541	
8	123,814	9,54476	105,406	
4,46861	53,9459	14,7401	89,1613	
0	59,3424	14,7547	89,1799	
0	63,706	14,4495	89,1736	
0	67,9006	14,1562	89,8447	
0	71,0971	13,9327	91,39	
0	78,7514	13,3975	94,5046	
0	82,9214	13,1059	95,4245	
0	86,8325	12,8324	96,8974	
0	90,7437	12,5589	97,5897	
0	96,6533	12,1456	98,5411	
0	101,157	11,8307	99,4291	
0	109,456	11,2504	101,222	
0	116,106	10,7854	103,333	
0	123,841	10,2445	104,559	
2,66229	25,7912	34,8828	0,949754	
0	36,1099	21,9383	21,0249	
0	43,1518	17,7745	48,4931	
0	49,0249	15,8566	71,926	
8	47,1169	15,6192	67,6319	
8	41,9192	17,5643	46,6857	
8	34,8223	22,0722	17,1932	
8	28,2352	29,3913	4,74611	
5,77609	24,1829	38,5351	0,932901	
6,07487	36,7541	-8,4715	37,3786	
6,14096	36,4716	2,60811	39,3722	
6,14673	36,457	-2,79777	39,0589	
6,21699	36,3038	7,33745	34,3672	
2,96854	123,394	5,36556	106,717	
4,05711	131,326	4,92565	86,8018	
2,89547	101,547	6,88555	99,1275	
2,89547	86,0823	7,96697	98,4766	
2,89547	78,9836	8,46336	96,3963	
2,89547	63,0209	9,57959	88,6225	
3,88297	45,2817	10,9241	65,7405	
3,3697	48,2687	10,6611	74,6679	
2,97299	52,3143	10,3364	81,1643	
8	130,632	5,38958	98,7836	
8	124,025	5,85159	106,612	
8	117,072	6,33778	102,508	
8	110,795	6,77668	100,785	
8	99,6296	7,55747	97,4377	
8	93,4882	7,98692	95,8271	
8	86,5249	8,47384	98,3562	
8	80,4573	8,89813	96,9001	
8	74,3897	9,32242	93,1839	
8	63,9604	10,0517	88,4019	
8	55,6657	10,6317	85,8933	
8	48,7144	11,1178	76,0994	
5,70022	137,715	-3,34523	49,1404	
5,85731	138,261	2,67636	48,459	
8	129,649	-5,45834	95,3457	
8	124,435	-5,8229	103,655	
8	116,525	-6,37604	104,137	
8	109,025	-6,90049	101,974	
8	101,525	-7,42494	99,8748	
8	94,0249	-7,94939	97,9889	
8	87,4102	-8,41194	96,0197	
8	80,7954	-8,87449	94,3158	
8	72,6556	-9,44368	92,198	
8	66,4124	-9,88024	90,4062	
8	58,1069	-10,461	87,175	
8	48,7655	-11,1142	74,6163	
3,91199	45,1403	-10,937	65,8182	
3,30285	48,7641	-10,6194	73,4401	
3,09596	50,6413	-10,4664	79,1379	
2,89547	116,747	-5,82268	105,265	
2,89547	112,332	-6,1314	103,152	
2,89547	108,784	-6,37954	101,691	
2,89547	105,718	-6,59394	100,675	
2,89547	102,102	-6,84674	99,9609	
2,89547	98,0414	-7,13071	99,0276	
2,89547	95,6542	-7,29764	98,3997	
2,89547	92,2232	-7,53756	97,7641	
2,89547	89,8412	-7,70413	97,4583	
2,89547	86,3051	-7,95139	96,6065	
2,89547	82,8016	-8,19638	96,0542	
2,89547	79,0249	-8,46047	94,7831	
2,89547	71,5249	-8,98493	92,2247	
2,89547	68,2808	-9,21178	90,87	
2,89547	64,9361	-9,44566	89,7139	
2,89547	60,9639	-9,72342	88,0797	
2,89547	57,7135	-9,95072	86,5643	
3,01243	124,103	-5,32063	104,148	
4,09072	131,476	-4,91866	87,5395	
-8	145,755	-12,65	50,9931	
-8	136,71	-9,50846	78,6612	
-8	29,0345	7,83008	31,5243	
-8	24,3454	17,6526	16,8137	
-8	18,7364	23,5215	5,46608	
-8	9,48189	28,5378	5,22385	
-12	27,9653	7,67751	24,9107	
-12	25,504	13,8039	16,7177	
-12	18,9506	21,9517	7,26321	
-12	11,8774	26,4562	5,26128	
-12	5,19834	28,5303	5,56276	
-12	5,49083	-28,4754	5,36624	
-12	11,5851	-26,5854	5,86562	
-12	18,2259	-22,557	6,42346	
-12	23,7007	-16,7116	17,191	
-12	28,0848	-7,22798	27,5981	
-8	29,4487	-6,08993	32,5366	
-8	27,1161	-13,0011	24,578	
-8	19,0249	-23,2887	7,18336	
-8	12,3444	-27,4213	5,9434	
-8	5,87572	-29,4922	5,37073	
-2,94595	26,1281	-34,0669	0,936764	
-4,14262	53,9478	-14,7686	86,0993	
-8	47,1169	-15,6192	66,8071	
-8	41,9192	-17,5643	46,382	
-8	34,4033	-22,4246	16,9659	
-8	28,6872	-28,7276	5,12051	
-5,77609	24,1829	-38,5351	0,897271	
-8	57,2982	-14,196	87,7935	
-8	64,0249	-13,7256	89,2323	
-8	72,5147	-13,132	92,6627	
-8	79,9102	-12,6148	95,3225	
-8	85,7442	-12,2069	97,0756	
-8	93,0475	-11,6962	96,7916	
-8	100,64	-11,1653	98,8502	
-8	112,228	-10,3549	102,083	
-8	117,385	-9,9943	103,448	
-8	123,814	-9,54476	105,214	
-8	58,3622	14,1216	88,471	
-8	64,4634	13,695	89,6844	
-8	71,0448	13,2347	92,1024	
-8	79,0249	12,6767	93,9013	
-8	85,0925	12,2524	95,8334	
-8	94,0249	11,6278	98,1244	
-8	100,978	11,1416	99,8091	
-8	106,865	10,7299	101,756	
-8	114,736	10,1795	103,898	
-8	124,396	9,50404	104,427	
-4,86356	24,0359	39,3518	0,893691	
-8	46,9067	15,6794	67,0418	
-8	39,556	18,7953	37,4193	
-8	33,839	22,9181	15,2085	
-8	28,5317	28,9522	3,94119	
-2,91413	26,0642	34,2126	1,07046	
-8	129,878	5,44233	98,6156	
-8	123,902	5,86019	104,275	
-8	116,769	6,35896	104,628	
-8	109,025	6,90049	102,546	
-8	101,525	7,42494	100,38	
-8	93,4778	7,98765	98,1437	
-8	88,36	8,34552	96,7953	
-8	80,1268	8,92124	94,8351	
-8	72,4345	9,45914	92,9683	
-8	64,0801	10,0433	90,3702	
-8	56,0961	10,6016	85,7444	
-8	49,7452	11,0457	76,3055	
-3,85142	45,4377	10,9098	64,6762	
-3,23418	49,318	10,5735	75,9622	
-3,00469	51,7996	10,3758	80,8554	
-2,89547	116,251	5,85735	105,598	
-2,89547	112,775	6,10044	103,644	
-2,89547	109,025	6,36267	102,311	
-2,89547	105,718	6,59394	101,244	
-2,89547	102,184	6,84104	99,9056	
-2,89547	98,7824	7,0789	99,2472	
-2,89547	95,2554	7,32553	98,5466	
-2,89547	91,9286	7,55816	98,306	
-2,89547	90,3956	7,66536	97,8007	
-2,89547	85,8087	7,9861	96,8313	
-2,89547	82,5014	8,21738	96,1566	
-2,89547	79,0249	8,46047	94,9845	
-2,89547	70,8933	9,0291	92,644	
-2,89547	68,2176	9,2162	91,1424	
